#epoch loss_f loss_bc_u_top loss_bc_u_rest loss_bc_v u_avg u_std v_avg v_std
160 3.2566e-02 7.7846e-02 1.0697e-01 1.9246e-03 7.2669e-01 3.5023e-02 5.8270e-02 2.3424e-02
161 3.2530e-02 7.7041e-02 1.0651e-01 1.9183e-03 7.2822e-01 3.5248e-02 5.8243e-02 2.3412e-02
162 3.2477e-02 7.6230e-02 1.0608e-01 1.9110e-03 7.2976e-01 3.5455e-02 5.8196e-02 2.3394e-02
163 3.2407e-02 7.5414e-02 1.0568e-01 1.9026e-03 7.3132e-01 3.5643e-02 5.8129e-02 2.3370e-02
164 3.2324e-02 7.4596e-02 1.0531e-01 1.8933e-03 7.3289e-01 3.5813e-02 5.8040e-02 2.3340e-02
165 3.2229e-02 7.3777e-02 1.0496e-01 1.8828e-03 7.3446e-01 3.5966e-02 5.7927e-02 2.3306e-02
166 3.2125e-02 7.2961e-02 1.0462e-01 1.8713e-03 7.3602e-01 3.6103e-02 5.7790e-02 2.3266e-02
167 3.2012e-02 7.2150e-02 1.0429e-01 1.8587e-03 7.3757e-01 3.6225e-02 5.7625e-02 2.3222e-02
168 3.1893e-02 7.1350e-02 1.0397e-01 1.8449e-03 7.3911e-01 3.6334e-02 5.7433e-02 2.3173e-02
169 3.1769e-02 7.0563e-02 1.0365e-01 1.8299e-03 7.4061e-01 3.6430e-02 5.7211e-02 2.3121e-02
170 3.1641e-02 6.9794e-02 1.0332e-01 1.8138e-03 7.4209e-01 3.6514e-02 5.6958e-02 2.3064e-02
171 3.1509e-02 6.9045e-02 1.0299e-01 1.7964e-03 7.4353e-01 3.6588e-02 5.6675e-02 2.3004e-02
172 3.1376e-02 6.8319e-02 1.0264e-01 1.7778e-03 7.4492e-01 3.6653e-02 5.6360e-02 2.2940e-02
173 3.1240e-02 6.7618e-02 1.0228e-01 1.7580e-03 7.4627e-01 3.6707e-02 5.6014e-02 2.2873e-02
174 3.1105e-02 6.6941e-02 1.0191e-01 1.7371e-03 7.4758e-01 3.6753e-02 5.5638e-02 2.2802e-02
175 3.0969e-02 6.6289e-02 1.0152e-01 1.7151e-03 7.4885e-01 3.6789e-02 5.5234e-02 2.2729e-02
176 3.0834e-02 6.5660e-02 1.0111e-01 1.6922e-03 7.5008e-01 3.6816e-02 5.4804e-02 2.2652e-02
177 3.0701e-02 6.5053e-02 1.0068e-01 1.6685e-03 7.5127e-01 3.6832e-02 5.4349e-02 2.2572e-02
